ref	tcz	en_web	en_kjv	tcz_gospelgo
GEN 1:26	Hichun Pathen in aseiye, “Eihon mihem ho, eiho lim pu'in sem u-hitin. Amaho chun twikhanglen sunga nga ho jouse chunga thunei diu, vanlai jol'a leng le vacha ho chule vah ngui thei gancha ho, le gam sa ho, chule a opa a kithol chengse chung'a thunei vaihom in pang'u hen,” ati.	God said, “Let’s make man in our image, after our likeness. Let them have dominion over the fish of the sea, and over the birds of the sky, and over the livestock, and over all the earth, and over every creeping thing that creeps on the earth.”	And God said, Let us make man in our image, after our likeness: and let them have dominion over the fish of the sea, and over the fowl of the air, and over the cattle, and over all the earth, and over every creeping thing that creepeth upon the earth.	Chujouvin Pathenin, “Eiho lim le mel pun mihem semu hitin, ama ho twi lah anga jouse le chunga vacha te, leiset’a ganhing namkim, ina kivah le gamlah alha ho, alen aneo jouse chunga thunei vaihomin panguhen,” atin;
GEN 1:27	Hiti chun Pathen in ama lim mong mong in mihem chu asem in, Pathen lim tobang bang in ama lim chu asem tai, pasal le numei asem doh tan ahi.	God created man in his own image. In God’s image he created him; male and female he created them.	So God created man in his own image, in the image of God created he him; male and female created he them.	Ama lim le mel tobangin Pathenin mihem asemin, numei le pasal asemdohtai.
GEN 1:28	Pathen in amani chu phatthei aboh in amani jah'a aseiye, “Chipha lhon in chule pung jing lhon in simseng louvin leiset chung hinlo dimset un, chule nangni noiya vaihom na umhen, vanlai jol'a leng vachate chunga jong chule twikhanglen'a ahingthei jouse chunga hijong le aboncha ganhing namkim hihen chule leiset chunga lhale ganhing jouse hile achung uva thunei vaihom in pang lhon tan,’’ ati.	God blessed them. God said to them, “Be fruitful, multiply, fill the earth, and subdue it. Have dominion over the fish of the sea, over the birds of the sky, and over every living thing that moves on the earth.”	And God blessed them, and God said unto them, Be fruitful, and multiply, and replenish the earth, and subdue it: and have dominion over the fish of the sea, and over the fowl of the air, and over every living thing that moveth upon the earth.	Pathenin ama ni chu phatthei aboh-in, “Chinphan pung lhonin, nason napah lhon leiset hung dimhen, twilah a nga, ju le vachate, leiset chunga ganhing namkim chunga hung vaihomu hen,” ati.
GEN 1:29	Pathen in hitin jong seiye, “Ve lhon in keiman leiset chunga muchi gathei phung jouse le thingphung gathei jouse aboncha hi nangni kihinso theina dinga kapeh lhon nahitai.	God said, “Behold, I have given you every herb yielding seed, which is on the surface of all the earth, and every tree, which bears fruit yielding seed. It will be your food.	And God said, Behold, I have given you every herb bearing seed, which is upon the face of all the earth, and every tree, in the which is the fruit of a tree yielding seed; to you it shall be for meat.	Pathenin, “ven, leiset’a muchi chivo, thingphung gathei jouse naneh lhon din kapen,
GEN 1:30	Chule leiset chunga um gamsa jouse hihen chunga leng vachate ho hijongle tol'a aop'a kithol ganhing jouse hijongle ahaithei hinna nei jouse aneh ding uva hamhing jouse kapeh doh ahi tai,’’ atile, hitobang chun aum tai.	To every animal of the earth, and to every bird of the sky, and to everything that creeps on the earth, in which there is life, I have given every green herb for food;” and it was so.	And to every beast of the earth, and to every fowl of the air, and to every thing that creepeth upon the earth, wherein there is life, I have given every green herb for meat: and it was so.	Leiset’a sa jouse le vachate, tol’a kithol ganhing ho le adang ho nehdin hamhing kapetai,” atin, hiti chun aumtai.
GEN 1:31	Chuin Pathen in asemsa chengse chu aboncha'n aven, “Apha lheh jeng in ahi,” hichea chun nilhah le jingkah khat ahung um doh in nigup lhinni ahung hitai.	God saw everything that he had made, and, behold, it was very good. There was evening and there was morning, a sixth day.	And God saw every thing that he had made, and behold, it was very good. And the evening and the morning were the sixth day.	Hichun Pathenin athilsemsa chengse avet le ahoi behseh jengin pha asai. Hiti hin jan akichaiyin jingkah ahitan, nigup alhing tai.
GEN 2:1	Hiti chun van le leiset chule asunga thil umjouse chu loupi tah a sem chai ahi tai.	The heavens, the earth, and all their vast array were finished.	Thus the heavens and the earth were finished, and all the host of them.	Hiti hin thilsem pumpi akijousoh tai.
GEN 2:2	Hichun ni sagi lhin nin Pathen in athilsem chu aboncha achaiyin, hiti chun a thilsem ho jouse akon in ama akicholdo tai.	On the seventh day God finished his work which he had done; and he rested on the seventh day from all his work which he had done.	And on the seventh day God ended his work which he had made; and he rested on the seventh day from all his work which he had made.	Ni sagi lhinnin Pathenin Athilsem ajousoh-in anatoh acholdotan ahi.
GEN 2:3	Hiche ni sagi lhinni chu Pathen in phatthei aboh in chule atheng ahi tin aphongdoh tai, ajeh chu athilsem le anatoh jousea kon'a akicholdo ni ahi.	God blessed the seventh day, and made it holy, because he rested in it from all his work of creation which he had done.	And God blessed the seventh day, and sanctified it: because that in it he had rested from all his work which God created and made.	Athilsem aboncha ajosoh a, ni sagi lhinnia acholdo jeh-in hiche nikhohi Pathenin Phatthei aboh-in asuthengtai.
GEN 2:4	Hiche hi van le leiset ahung kisemdoh a akhanggui hung kipatdoh dan ho chu hiti hi ana hi. Pakai Pathen in leiset le van ahinsem patni chun.	This is the history of the generations of the heavens and of the earth when they were created, in the day that the LORD God made the earth and the heavens.	These are the generations of the heavens and of the earth when they were created, in the day that the Lord God made the earth and the heavens,	Hitia hi thilsempumpi hung kisemdoh ahi.
GEN 2:5	Leiset chunga tollhang a jong hamphung keh doh loulai ahi, ajeh chu Pathen in gotwi leiset chunga ajuhsah loulai ahin chule hia chu koima natong ding umlou lai ana hi.	No plant of the field was yet in the earth, and no herb of the field had yet sprung up; for the LORD God had not caused it to rain on the earth. There was not a man to till the ground,	and every plant of the field before it was in the earth, and every herb of the field before it grew: for the Lord God had not caused it to rain upon the earth, and there was not a man to till the ground.	Leiset chunga hampa louhing akeh hih laiyin, muchijong adondoh hih laiye. Ajeh chu Pakai Pathenin go ajuh sah hih laiyin, loubol ding mihem jongaum hih laiye.
GEN 2:6	Ahin leiset'a kon in twimei a hung kaiyin chule leichung jouse chu twiyin achapnou vin ahi.	but a mist went up from the earth, and watered the whole surface of the ground.	But there went up a mist from the earth, and watered the whole face of the ground.	Leiset’ konjoh chun meijun ajamdoh jin, chutengle leichung ahinle chapkotjie.
GEN 2:7	Chuin Pakai Pathen in leichunga kon in vutvai achun mihem asemin, chule a nahhom'a hinna hu alhakhum a ahile mihem chu hinna nei ahung hitai.	The LORD God formed man from the dust of the ground, and breathed into his nostrils the breath of life; and man became a living soul.	And the Lord God formed man of the dust of the ground, and breathed into his nostrils the breath of life; and man became a living soul.	Pakai Pathenin leiset alan mihem asemin, anahhom sunga hintheina hu ahailut peh le, mihem chu mihing asohdoh paiten ahi.
GEN 2:8	Chuphat in Pathen injong niso lama Eden hon aphut dohin hiche achun asem sa mihem chu akoi tai.	The LORD God planted a garden eastward, in Eden, and there he put the man whom he had formed.	And the Lord God planted a garden eastward in Eden; and there he put the man whom he had formed.	Chujouvin Pakai Pathenin niso lam Eden mun’a chun hon khat asemin, hikomma hin amihem sempa chu akoitai.
GEN 2:9	Chuin Pakai Pathen in leichung a kon in vetnom nom umle neh ding thingga namkim akedoh sah in ahi, chule honlai lung'a chun hinna thingphung jong chule ase le apha hetna thing-phung jong akesah in ahi.	Out of the ground the LORD God made every tree to grow that is pleasant to the sight, and good for food, including the tree of life in the middle of the garden and the tree of the knowledge of good and evil.	And out of the ground made the Lord God to grow every tree that is pleasant to the sight, and good for food; the tree of life also in the midst of the garden, and the tree of knowledge of good and evil.	Honsunga hin vetnomnom thingphung gapha tahtah Pakai Pathenin akesah-in, alailungtah a chun hintheina thingphung le se le pha hetna thingphung jong akeh-e.
GEN 2:10	Hiche Eden hon'a kon chun honlei chapnou jing ding in vadung along in, vadung chu vadung li in ahung long khen'in vadung li asohdoh e.	A river went out of Eden to water the garden; and from there it was parted, and became the source of four rivers.	And a river went out of Eden to water the garden; and from thence it was parted, and became into four heads.	Edan honlei chap nou din hnleiya konin vadung khat ahung lhongin, honkal’a lhalka lin alongkhenin, vadung li asohdoh paitai.
GEN 2:11	Vadung khatna chu ahile Pishon ahin, hiche chu sana kimuna vadung ahin Havilah gam pumpia long kimvel ahi.	The name of the first is Pishon: it flows through the whole land of Havilah, where there is gold;	The name of the first is Pison: that is it which compasseth the whole land of Havilah, where there is gold;	Vadung masapen chu pishonahin, Havilah gamkol vel’in alongin,
GEN 2:12	Hiche gam'a sana kimu ho chu ahoi thei lheh in a namtwi jah nom umtah chule song namtwi jong akimui.	and the gold of that land is good. Bdellium and onyx stone are also there.	and the gold of that land is good: there is bdellium and the onyx stone.	Hiche gama hin sana theng atamin, samphai chang le songval chang jong akimui.
GEN 2:13	Vadung ni lhinna chu amin Gihon ahin, hiche vadung chu Cush gam pumpia long kimvel ahi.	The name of the second river is Gihon. It is the same river that flows through the whole land of Cush.	And the name of the second river is Gihon: the same is it that compasseth the whole land of Ethiopia.	Vadung nina chu Gihon ahin, Cush gamkol vel’a alongin ahi.
GEN 2:14	Vadung thum lhinna chu ahile Haddekel ahin, hiche vadung hin sah solam gam'a Asshur gam pumpia long ahin, chule vadung li lhinna chu Euphrates ahi.	The name of the third river is Hiddekel. This is the one which flows in front of Assyria. The fourth river is the Euphrates.	And the name of the third river is Hiddekel: that is it which goeth toward the east of Assyria. And the fourth river is Euphrates.	Vadung thumna chu Tigris ahin, Assyria niso lama alongin, chule vadung li lhinna chu Euphrates ahi.
GEN 2:15	Chuin Pakai Pathen in amisem dohpa chu Eden hon sunga apuilut in hiche hon'a natong ding le avetup ding in apansah tai.	The LORD God took the man, and put him into the garden of Eden to cultivate and keep it.	And the Lord God took the man, and put him into the garden of Eden to dress it and to keep it.	Pakai Pathenin mihempa chu aleibol ding le angah din Edanhonsunga akoitai.
GEN 2:16	Ahin Pathen in mipa koma athupeh chu, “Nang man hiche honsunga theiga ho khu nadei dei naneh thei cheh ahi.	The LORD God commanded the man, saying, “You may freely eat of every tree of the garden;	And the Lord God commanded the man, saying, Of every tree of the garden thou mayest freely eat:	Pakai Pathenin mihempa jah a, “honsunga thingga jouse naneh thei ahinan,
GEN 2:17	Hinlah nangman hon lailung'a ase le apha hetna theiga vang naneh lou beh ding, hichu naneh nini, na thitei tei ding,’’ ahi.	but you shall not eat of the tree of the knowledge of good and evil; for in the day that you eat of it, you will surely die.”	but of the tree of the knowledge of good and evil, thou shalt not eat of it: for in the day that thou eatest thereof thou shalt surely die.	Se le pha hetna thingga vang khu naneh thei louhel dingahi; naneh ni ni le nathi tei tei ding ahi, ati. 18 Pakai Pathenin, “Mihempa achangseh a aum hi anompoi, aki- thopi ding aki- angtopi thei khatsempeh inge,” atin;
GEN 2:18	Chujong le Pakai Pathen in aseiye, “Mihempa achanga a-umhi apha poi hijeh chun keiman a umkhom pi ding khat sempeh ing kate,’’ ati.	The LORD God said, “It is not good for the man to be alone. I will make him a helper comparable to him.”	And the Lord God said, It is not good that the man should be alone; I will make him a help meet for him.	
GEN 2:19	Chuin Pakai Pathen in leivui chu leingan a sosah in chu in leichunga ganhing namkim asem in chule vacha ho chung lam'a alensah in chuin hiche ho jouse hi amin ipi pi asah em tin mihempa kom'a ahinpui khom in hiche a mihem pan amin vo najouse chu tuni geia amin a pangden ahi tai.	Out of the ground the LORD God formed every animal of the field, and every bird of the sky, and brought them to the man to see what he would call them. Whatever the man called every living creature became its name.	And out of the ground the Lord God formed every beast of the field, and every fowl of the air; and brought them unto Adam to see what he would call them: and whatsoever Adam called every living creature, that was the name thereof.	Leiset alan Pakai Pathenin sa namkim le vacha jouse asemin, ipi asah ding vetnan mihempa henga abonchan ahin hoiluttai. Hichea hi mihempan aminsah pen pen chu aminu hijeng ahitai.
GEN 2:20	Hiti chun mihempa in ganhing namkim chu aminvo cheh in chunga lengthei vachate ahin, chule loujaova sahang jouse jong aminvo soh keiyin ahin mihempa kithopi ding akimu doh hih laiye.	The man gave names to all livestock, and to the birds of the sky, and to every animal of the field; but for man there was not found a helper comparable to him.	And Adam gave names to all cattle, and to the fowl of the air, and to every beast of the field; but for Adam there was not found a help meet for him.	HIti hin mihempan vacha jouse le sa namkim aminvo chehtan, ahinla khat cha beh jong ama kithopi thei le aki-angtopi thie aumtapoi.
GEN 2:21	Hijeh chun Pakai Pathen in mihempa chu a imut-mil sah in a imut-mil kah chun Pathen in anahgu khat aladoh in anung chu aphe in atom jol peh in ahi.	The LORD God caused the man to fall into a deep sleep. As the man slept, he took one of his ribs, and closed up the flesh in its place.	And the Lord God caused a deep sleep to fall upon Adam, and he slept: and he took one of his ribs, and closed up the flesh instead thereof;	HIjeh chun Pakai Pathenin mihempa chu a-imut milsah-in, a-ihmut lanin anahgu khat aheh lhan, anung chu aphen atonjol’in,
GEN 2:22	Chuin Pakai Pathen in Adam nahgu a lah doh'a kon chun numei khat asemdoh in amanu chu Adam kom'a ahin puilut in ahi.	The LORD God made a woman from the rib which he had taken from the man, and brought her to the man.	and the rib, which the Lord God had taken from man, made he a woman, and brought her unto the man.	Anahgua kon chun numei khat asemdoh-in, mihempa henga ahinpuilut tai.
GEN 2:23	Hichun mihempan aseiye, “Amanu hi keima gu akon'a kisemdoh ahin, chule aphevou jang jong keima phevou ahin, amanu hi tu apat'a numei kiti ding ahi, ajeh chu amanu hi pasal'a kona kiladoh ahi,” ati.	The man said, “This is now bone of my bones, and flesh of my flesh. She will be called ‘woman,’ because she was taken out of Man.”	And Adam said, This is now bone of my bones, and flesh of my flesh: she shall be called Woman, because she was taken out of Man.	Hichun mihempan: “ Hiche hi kagu kachanga kon, Kaphe kavouva kiladoh ahijeh aPasal’a kona kiladoh ahijeh a ‘Numei’ kiti ding ahi.” ati.
GEN 2:24	Hijeh a chu pasal in anu le apa a dalhah a aji numei'a beh ding chule amani chu tipum khat kiti lhon ding ahiye.	Therefore a man will leave his father and his mother, and will join with his wife, and they will be one flesh.	Therefore shall a man leave his father and his mother, and shall cleave unto his wife: and they shall be one flesh.	Hijeh a chu Pasal’in anu le apa alhakanga aji akol chah joh a, chule ama ni phe khat vou khat hilhonahi.
GEN 2:25	Ahin hichepet chun pasalpa ahin numeinu ahin ani gel lhon a sagoh keuva um lhon ahin, ahi vang'in jachat na anei lhon pon ahi.	The man and his wife were both naked, and they were not ashamed.	And they were both naked, the man and his wife, and were not ashamed.	Hichepet chun mihempa le ajinu asagohkeo ahilhonin, ahivangin akijapi lhonpoi.
GEN 3:1	Pathen thilsem jouse laha gul hi a lungthim thempen ahi. Nikhat chu aman numeinu adong in, “Pathen in honsunga theiga jouse naneh thei lhon lou beh ding ahi tia asei mong em?” ati.	Now the serpent was more subtle than any animal of the field which the LORD God had made. He said to the woman, “Has God really said, ‘You shall not eat of any tree of the garden’?”	Now the serpent was more subtil than any beast of the field which the Lord God had made. And he said unto the woman, Yea, hath God said, Ye shall not eat of every tree of the garden?	Pakai Pathen thilsem ganhinglah a doha thuh pen chu gul ahi. Gul hin numei nu jah a,” Honsunga theiga ho khu naneh lhon louhel dia Pathenin akha mongham?” atile;
GEN 3:2	Numei nu chun gul jaha keini'n “Eden hon sunga theiga jouse kaneh thei lhon ding ahi nai.”	The woman said to the serpent, “We may eat fruit from the trees of the garden,	And the woman said unto the serpent, We may eat of the fruit of the trees of the garden:	Numei nun,” Theiga dang vang kinetheiye;
GEN 3:3	Ahin Pathen in hitin aseiye, “Hon lailung a theiga vangkhu naneh lhon lou hel ding, lo jong nalo lhon lou hel ding ahi. Ahin iti ham khat'a nalo lhon a naneh lhon le nathi jeng lhon ding ahi,” tin aseiye.	but not the fruit of the tree which is in the middle of the garden. God has said, ‘You shall not eat of it. You shall not touch it, lest you die.’”	but of the fruit of the tree which is in the midst of the garden, God hath said, Ye shall not eat of it, neither shall ye touch it, lest ye die.	Honlai lunga vang khu neh jong kaneh thie lhon lou ding, katoh khah lhon jongle kathi tei tei lhondin Pathenin eiseipeh lhon nai, “ati.
GEN 3:4	Hinlah Satan in numeinu jah a aseiyin, “Nathi lhon loubeh ding ahi.	The serpent said to the woman, “You won’t really die,	And the serpent said unto the woman, Ye shall not surely die:	Hichun gul’in numienu jah a, Thi lhon hih hel’in nate.
GEN 3:5	Ajeh chu Pathen in ahet ahi hichu naneh nini lhonle namit lhon hung hahdoh intin Pathen toh nabah lhon ding thilpha le thilse hetheiya naum lhon ding ahi ti Pathen in ahet jeh'a asei ahi bouve,” atitai.	for God knows that in the day you eat it, your eyes will be opened, and you will be like God, knowing good and evil.”	for God doth know that in the day ye eat thereof, then your eyes shall be opened, and ye shall be as gods, knowing good and evil.	Naneh lhon teng namitlam lhon kikeodoh a Pathen masap’a thilpha thilse nahetdoh lhonding jeh a Pathenin akha ahibouve, “ati.
GEN 3:6	Hiche a chun numeinun theiga chu aven ahile neh dinga tui chule mitvet dinga jong vetnom nom um, chule mi achihsah jeng ding jeh chun ahaduchat cheh tai. Hijeh chun numei nun theiga chu akilo in anetan chule a pasalpa jong them khat apen amapan jong ala in ane tai.	When the woman saw that the tree was good for food, and that it was a delight to the eyes, and that the tree was to be desired to make one wise, she took some of its fruit, and ate. Then she gave some to her husband with her, and he ate it, too.	And when the woman saw that the tree was good for food, and that it was pleasant to the eyes, and a tree to be desired to make one wise, she took of the fruit thereof, and did eat, and gave also unto her husband with her; and he did eat.	Thingphung chu numei nu mitvet’ in ahoi lheh jengin, akineh le mi achihsah ding jeh-in jong aducha cheh jenge. Hijeh chun numei nun theiga chu akilon anen, ajipa jong apen, aman jong anetai.
